"","as.numeric.B_coefficient2."
"1",2.76609035426142
"2",3.11450709635619
"3",3.17379508096089
"4",3.00903104358578
"5",2.83243901508061
"6",2.96642586178683
"7",2.76073129843363
"8",3.13912030321111
"9",3.16841472308594
"10",3.00989334886515
"11",2.83305153266127
"12",2.97293316003483
"13",2.75423603076852
"14",3.12927902051246
"15",3.18802107277516
"16",3.02476205333084
"17",2.84070160874196
"18",2.96013919076753
"19",2.75246150821719
"20",3.14324737087484
"21",3.18976239471723
"22",2.97701269147336
"23",2.86064782699966
"24",2.94536234511379
"25",2.35610338887841
"26",3.11541071984273
"27",3.31036915712349
"28",3.20183212300795
"29",3.11128548264342
"30",3.06206631765003
"31",2.34780292386182
"32",3.10865450305556
"33",3.32553702620211
"34",3.18128105117403
"35",3.12119452722981
"36",3.06263885039913
"37",2.39365186186946
"38",3.07401976573721
"39",3.31781561742712
"40",3.19495847627731
"41",3.11160053059067
"42",3.06411043017694
"43",2.37451958963066
"44",3.09777517565083
"45",3.32726741434797
"46",3.17491569750297
"47",3.13186475843852
"48",3.070801252167
"49",3.10700666904384
"50",3.34819506518541
"51",3.34732512177186
"52",3.07721664562406
"53",2.82847332941719
"54",2.5565144879221
"55",3.09491552132697
"56",3.34607652648458
"57",3.33871730030551
"58",3.07967404108142
"59",2.86310784373829
"60",2.54664391072774
"61",3.10511069284651
"62",3.34288949487279
"63",3.34243747986325
"64",3.08603804551036
"65",2.81654665775326
"66",2.5618800538279
"67",3.10014247667158
"68",3.32525964175044
"69",3.35140593180355
"70",3.0757609995993
"71",2.83115983940129
"72",2.55597122252554
