"","as.numeric.B_coefficient2."
"1",2.69978867680531
"2",3.33148652998893
"3",3.83118168939203
"4",3.77025758198018
"5",3.25588456660585
"6",3.04453673787086
"7",2.70050400579972
"8",3.33026339515977
"9",3.84929601099835
"10",3.72810148030137
"11",3.26600354996279
"12",3.03802121316662
"13",2.69401143399491
"14",3.32462297096758
"15",3.84805530228636
"16",3.74702167253622
"17",3.24088967567336
"18",3.04254491327582
"19",2.70589871463515
"20",3.31147544706829
"21",3.86410303507581
"22",3.75041624279529
"23",3.25474114909737
"24",3.04108043972126
"25",2.28684920304915
"26",3.32535408989418
"27",3.94750744805455
"28",3.89010147001795
"29",3.53194444940539
"30",3.14137926688782
"31",2.29223202088388
"32",3.31356952803051
"33",3.93774423242923
"34",3.90109211087893
"35",3.54167180252807
"36",3.15692179283447
"37",2.297387629364
"38",3.29401586152734
"39",3.94135584065828
"40",3.90661456614012
"41",3.54410783007865
"42",3.14849354446396
"43",2.29324821034751
"44",3.30110108109047
"45",3.94973827490668
"46",3.89684193544473
"47",3.53722662363957
"48",3.15531005105686
"49",3.0218303915688
"50",3.57232721876465
"51",3.9702247464834
"52",3.78955943137221
"53",3.25887508142017
"54",2.63346345983503
"55",3.0227632344004
"56",3.57187325620954
"57",3.97334418899717
"58",3.7715632619454
"59",3.28146156381134
"60",2.62422671219639
"61",3.03336715753459
"62",3.55387356286463
"63",3.97792286899451
"64",3.80087254245315
"65",3.26738931401701
"66",2.63086706657648
"67",3.02737207874775
"68",3.57522271190161
"69",3.95992256566003
"70",3.8143054174204
"71",3.23227468463004
"72",2.65196989665319
