"","as.numeric.B_coefficient2."
"1",3.03206636015279
"2",3.89997721528551
"3",4.55869501512446
"4",4.42839157627695
"5",3.73049157035244
"6",3.33903742851016
"7",3.03852249938917
"8",3.91282084964889
"9",4.54800231658437
"10",4.44149514801757
"11",3.72517201161245
"12",3.34377000010779
"13",3.02343027511285
"14",3.90708504142917
"15",4.53468218315637
"16",4.43713327966671
"17",3.72473083885628
"18",3.34286260327242
"19",3.02996220809595
"20",3.88689380444168
"21",4.56335601690743
"22",4.42440245752825
"23",3.74141879903835
"24",3.34156480143579
"25",2.68181746303566
"26",3.87548226797862
"27",4.64647268893414
"28",4.52231497315134
"29",3.99039427471569
"30",3.44876291835482
"31",2.64854994782494
"32",3.89190239926065
"33",4.62360752070471
"34",4.53861735222398
"35",3.97296494922966
"36",3.45015498761449
"37",2.66740272939572
"38",3.90551710764881
"39",4.63396052886233
"40",4.5278725752617
"41",3.98636829796823
"42",3.44344762290884
"43",2.66224342178911
"44",3.86830802287778
"45",4.64509061370607
"46",4.51367852308926
"47",4.00220287793372
"48",3.43406397510337
"49",3.36946764659042
"50",4.09879866214691
"51",4.64528833130554
"52",4.45131753966651
"53",3.76256741166664
"54",2.96044624165717
"55",3.37075676233521
"56",4.10281258541519
"57",4.64953702891743
"58",4.45370991753833
"59",3.71468411182177
"60",2.99426515657104
"61",3.37133242178403
"62",4.09224009882719
"63",4.66238063423154
"64",4.43818288740347
"65",3.7453541669538
"66",2.99073592580942
"67",3.37075184580967
"68",4.09239528460357
"69",4.6632955978457
"70",4.44287491057165
"71",3.74946776745494
"72",2.97648310099664
