"","as.numeric.B_coefficient2."
"1",2.77412441008654
"2",3.3513891021997
"3",3.84153280704751
"4",3.63719102601152
"5",3.14384362585153
"6",3.03830225014939
"7",2.78222060756615
"8",3.37524392055906
"9",3.84048778296954
"10",3.61072708765615
"11",3.14405033049725
"12",3.04020165974533
"13",2.78710144000764
"14",3.34677578804773
"15",3.84832426618747
"16",3.64539120833052
"17",3.13629134814159
"18",3.03305530711652
"19",2.77996159707243
"20",3.36441394527447
"21",3.84960632893362
"22",3.62551587649761
"23",3.13997655260451
"24",3.0525480717453
"25",2.34738847972969
"26",3.37623282084036
"27",3.93238908229644
"28",3.80503644925739
"29",3.41312327402902
"30",3.15119983787309
"31",2.34683843196211
"32",3.36781481362173
"33",3.93068636751176
"34",3.78858365428067
"35",3.43402633221625
"36",3.15325169323496
"37",2.36101199159222
"38",3.36603143556028
"39",3.93368505983454
"40",3.78884675672905
"41",3.42792457153716
"42",3.16297009059424
"43",2.3591508631973
"44",3.34526755290725
"45",3.94508648226325
"46",3.78589612325055
"47",3.43368826826951
"48",3.15513898537769
"49",3.12688545891068
"50",3.62268833826711
"51",3.94776942864783
"52",3.69510630039572
"53",3.12415164307676
"54",2.62676831027562
"55",3.14228198102102
"56",3.60787398714957
"57",3.96287903614568
"58",3.67342418952295
"59",3.14185408899605
"60",2.62688535949292
"61",3.14133824111075
"62",3.59946973873994
"63",3.98222058049584
"64",3.67480577125582
"65",3.13405811701753
"66",2.66075514246451
"67",3.13601204669331
"68",3.61573199233433
"69",3.96685674415595
"70",3.68300678142885
"71",3.14511106097875
"72",2.62106115493961
