"","as.numeric.B_coefficient."
"1",3.23305551531182
"2",3.77111370184991
"3",4.55031835511989
"4",4.67270014118247
"5",4.29324920784174
"6",3.71067165343867
"7",3.2424795359092
"8",3.74790555101915
"9",4.53220876766068
"10",4.70094301241448
"11",4.26633229582682
"12",3.73218370623105
"13",3.24302431160174
"14",3.76045180373585
"15",4.50684788267508
"16",4.72163899971329
"17",4.24654415194374
"18",3.74406393043608
"19",3.22158335673436
"20",3.74934727104685
"21",4.54958708328959
"22",4.69974689634374
"23",4.26988866946932
"24",3.71963523043163
"25",2.99501280202319
"26",3.76140465162854
"27",4.58532742505585
"28",4.82050955092828
"29",4.4284805054039
"30",3.84028098950942
"31",3.03351644642997
"32",3.77470905265907
"33",4.55536486636538
"34",4.82139367357233
"35",4.42948538118635
"36",3.82374892143181
"37",2.97661869977934
"38",3.79363331109762
"39",4.54516601047458
"40",4.82727993694749
"41",4.46129731129969
"42",3.79206022428609
"43",3.0063146939632
"44",3.81715888247877
"45",4.56947824201453
"46",4.79129586701774
"47",4.48415303437865
"48",3.78983782871536
"49",3.43489105483447
"50",4.05696927932534
"51",4.55689802294071
"52",4.74369171359672
"53",4.32361552972243
"54",3.41908389924277
"55",3.42337186071964
"56",4.02302216064081
"57",4.59073137036428
"58",4.73909474150842
"59",4.28349490515061
"60",3.45922006249935
"61",3.49617543144891
"62",4.01585478483306
"63",4.58821495293503
"64",4.7219413256601
"65",4.30421702422654
"66",3.46102794154849
"67",3.45105764415871
"68",4.04913217222616
"69",4.55906451456037
"70",4.74403341828095
"71",4.27004563552475
"72",3.43827463521174
