"","as.numeric.B_coefficient2."
"1",2.72759728442135
"2",3.58922910257569
"3",4.28743000020733
"4",4.15726869838369
"5",3.4532209770139
"6",3.01172220193173
"7",2.73552183679285
"8",3.57976350261453
"9",4.30074915770097
"10",4.15585324062173
"11",3.45772255426048
"12",3.00414083342099
"13",2.73377824398291
"14",3.56734881399058
"15",4.28984049877343
"16",4.16811056129027
"17",3.46249847836917
"18",3.0223271048125
"19",2.73843639045812
"20",3.58217368213798
"21",4.29823456788718
"22",4.1517077404524
"23",3.4714614241855
"24",3.03287435993596
"25",2.36055464733487
"26",3.56179726710083
"27",4.36717596048782
"28",4.28676172232631
"29",3.7156138332112
"30",3.11351197268089
"31",2.37150308973586
"32",3.56360938632594
"33",4.36623997027647
"34",4.28872680353028
"35",3.71949821349585
"36",3.10648107849888
"37",2.3604790330352
"38",3.57144980318805
"39",4.36960542703372
"40",4.28773602852049
"41",3.69123508408099
"42",3.12064290985243
"43",2.35343564524446
"44",3.58426827984616
"45",4.3592882622157
"46",4.26938805945773
"47",3.71602118811658
"48",3.10283291036667
"49",3.04282838374071
"50",3.79993859596525
"51",4.37524023838632
"52",4.18890551543084
"53",3.46830398194637
"54",2.63656343536448
"55",3.05026254554263
"56",3.80262639814051
"57",4.38638092964614
"58",4.19232391196082
"59",3.46943087891086
"60",2.62515682852496
"61",3.04559759139792
"62",3.80437149415301
"63",4.38493916687243
"64",4.19267926516955
"65",3.46886136725365
"66",2.6343313472969
"67",3.04656829519774
"68",3.79388782593759
"69",4.38895802455164
"70",4.19293920201339
"71",3.45257551120235
"72",2.64837648339338
