"","as.numeric.B_coefficient2."
"1",2.4400137368549
"2",3.14736971172888
"3",3.88568164677689
"4",3.71784587545483
"5",2.97197985407279
"6",2.70152179947799
"7",2.42212359782838
"8",3.17606174624404
"9",3.86659820317719
"10",3.68491565543493
"11",2.98644626008167
"12",2.70402405051951
"13",2.44899179524923
"14",3.15309164031922
"15",3.88442973572299
"16",3.70682456372986
"17",2.96242032053499
"18",2.7074426469795
"19",2.42770696565497
"20",3.16216858470465
"21",3.85657640078396
"22",3.74336833342358
"23",2.92866202370306
"24",2.70210129327459
"25",1.90294144532378
"26",3.13440504920144
"27",4.0017337407053
"28",3.88807353520206
"29",3.35895850948967
"30",2.82877193807961
"31",1.8780490893932
"32",3.14795103394617
"33",4.00263531390832
"34",3.90953857750529
"35",3.34197192452987
"36",2.82665793343713
"37",1.88834467417958
"38",3.1672965890364
"39",3.99101386091747
"40",3.91068874799953
"41",3.34260544956712
"42",2.82647796711981
"43",1.89288600588825
"44",3.15439999562116
"45",4.0136200644259
"46",3.8945303877766
"47",3.35954188990201
"48",2.82741420283154
"49",2.81228339162447
"50",3.48466405713467
"51",4.02628752163451
"52",3.76832710000082
"53",2.9740417984884
"54",2.16570429397206
"55",2.81331265823504
"56",3.49154438601711
"57",4.03204887571869
"58",3.7596756496161
"59",2.96068835584296
"60",2.17071568964528
"61",2.82428329387093
"62",3.49683198851893
"63",4.02566843350691
"64",3.75021756954771
"65",2.96800081470391
"66",2.16206732295097
"67",2.81044345155305
"68",3.49061469400804
"69",4.02480837215332
"70",3.76483371119881
"71",2.97228191432953
"72",2.1847605538771
