"","as.numeric.B_coefficient2."
"1",3.15919360937813
"2",3.71062666967057
"3",3.95656596299721
"4",3.7366082656545
"5",3.48223321500651
"6",3.41978855945633
"7",3.16271642635877
"8",3.68897359378323
"9",3.94513363402114
"10",3.75569804261801
"11",3.48228201086153
"12",3.41927882195702
"13",3.1761476573513
"14",3.69679730783467
"15",3.95252840739209
"16",3.74856928938708
"17",3.47327925413514
"18",3.42663640346659
"19",3.15494652898366
"20",3.69773724470446
"21",3.94150216990759
"22",3.75063204660154
"23",3.48653322760629
"24",3.41874154638993
"25",2.85656145427986
"26",3.67992267991874
"27",4.02972344315857
"28",3.86916225472622
"29",3.654889569001
"30",3.51021398070947
"31",2.87698349247758
"32",3.68009544525573
"33",4.03202624834173
"34",3.8663067142733
"35",3.67074349399883
"36",3.51072054914067
"37",2.87415135748245
"38",3.66769564095017
"39",4.03512643676193
"40",3.85215562871916
"41",3.66755826053076
"42",3.51465149204829
"43",2.86622374496606
"44",3.68796648921159
"45",4.00991948259716
"46",3.87391951020608
"47",3.65742356258622
"48",3.50524310709504
"49",3.44780137791196
"50",3.84788398859089
"51",4.02711974099772
"52",3.80047952968447
"53",3.48737968871308
"54",3.1302422343003
"55",3.44530250054624
"56",3.85503731949119
"57",4.04452598435504
"58",3.79290251864308
"59",3.47367003921437
"60",3.13889980017284
"61",3.44409046731733
"62",3.86372516530916
"63",4.04119103589244
"64",3.7848584874846
"65",3.47065351066666
"66",3.13392787308373
"67",3.44639172939242
"68",3.85948232179718
"69",4.03283728930965
"70",3.79532643329091
"71",3.46678696597212
"72",3.12131301489087
