"","as.numeric.B_coefficient."
"1",3.26598223907171
"2",3.66780549387588
"3",3.84319078326496
"4",3.65621991690545
"5",3.18315949237899
"6",3.10909521229635
"7",3.18413398351869
"8",3.75483197126477
"9",3.82641120909106
"10",3.67721179329607
"11",3.22953989996314
"12",3.07304829653076
"13",3.23558324925146
"14",3.71173463689025
"15",3.80770734808178
"16",3.66467122259949
"17",3.14334253439755
"18",3.09165140059179
"19",3.24434190840995
"20",3.64756893663018
"21",3.80155250200124
"22",3.73413241485337
"23",3.17674846875794
"24",3.06143823082937
"25",2.79245711325984
"26",3.74294075856899
"27",3.94395700477889
"28",3.80879020412848
"29",3.51735148142857
"30",3.11679712548262
"31",2.80758899829899
"32",3.77766769955507
"33",3.87661504814932
"34",3.8368393014318
"35",3.46902924848466
"36",3.15153391655263
"37",2.83382213995551
"38",3.69257981393403
"39",3.89252925215535
"40",3.84272139362822
"41",3.47880086262762
"42",3.14611645839361
"43",2.74042090474989
"44",3.78936853934806
"45",3.89605630666018
"46",3.84744858470427
"47",3.46655459075155
"48",3.15545074676543
"49",3.54747351115729
"50",3.84196761397109
"51",4.00972799267385
"52",3.62427659168425
"53",3.25808064802394
"54",2.67096335167689
"55",3.48900957025676
"56",3.82909853283915
"57",4.00673934648798
"58",3.66486491902911
"59",3.21646473790385
"60",2.65010085084395
"61",3.58782549392072
"62",3.78810580724493
"63",4.00226802185402
"64",3.66123675962431
"65",3.26490592350121
"66",2.66436789931182
"67",3.52373669330288
"68",3.86661218766476
"69",3.96353915239863
"70",3.67363999461942
"71",3.23481748193483
"72",2.69033036869237
