"","as.numeric.B_coefficient2."
"1",2.98717056980322
"2",4.07593509588164
"3",4.94156466090793
"4",4.85359059854714
"5",4.10168387440558
"6",3.48713063852543
"7",2.97494317276755
"8",4.06737461902337
"9",4.94050873124988
"10",4.85486879599612
"11",4.09088594235135
"12",3.48659159409106
"13",2.97313932771027
"14",4.08026006334461
"15",4.92867706492189
"16",4.86626956541681
"17",4.09364501795246
"18",3.50128139982911
"19",2.98924231463521
"20",4.08000734312689
"21",4.92948975681707
"22",4.84375321012449
"23",4.11412739841749
"24",3.48114521878543
"25",2.66511249944051
"26",4.06027344933476
"27",4.99750355388663
"28",4.93149152593175
"29",4.3291046216519
"30",3.57990483397068
"31",2.65161341847483
"32",4.06360353457098
"33",4.98516498609489
"34",4.94916427846274
"35",4.30611603879642
"36",3.5834304318748
"37",2.63427666504258
"38",4.0769763610684
"39",4.99590313486082
"40",4.93722598668313
"41",4.31734738417087
"42",3.57779333676491
"43",2.65293819659686
"44",4.07475190206702
"45",4.98752678232302
"46",4.93358580185026
"47",4.32424259537143
"48",3.57531100537561
"49",3.27041750553241
"50",4.27496375334267
"51",4.99909882947554
"52",4.87685649914589
"53",4.11814732250123
"54",3.17940858911068
"55",3.26805123015476
"56",4.2582484273891
"57",5.00103573687585
"58",4.87353478525671
"59",4.10455538601837
"60",3.17752393650366
"61",3.27957276331121
"62",4.24789443693024
"63",5.01336315201499
"64",4.86703612936221
"65",4.12840057591505
"66",3.17540975571885
"67",3.2601945507328
"68",4.26077380821343
"69",5.00586899553654
"70",4.87134908847683
"71",4.11389120887123
"72",3.1801557706911
