"","as.numeric.B_coefficient."
"1",3.27131557201823
"2",3.77475969340359
"3",4.24984394111924
"4",3.99140436503301
"5",3.45080589740938
"6",3.41810793521548
"7",3.32182000427712
"8",3.73217029474027
"9",4.23882303769848
"10",4.05355743487387
"11",3.48244749684862
"12",3.34851074507139
"13",3.24122619460773
"14",3.85022294105143
"15",4.22228724078199
"16",4.0062544103903
"17",3.50772030908422
"18",3.36299332442118
"19",3.3119701870088
"20",3.77836661372257
"21",4.22692547842561
"22",4.01866591443191
"23",3.48719317335898
"24",3.33679415406179
"25",2.91896743058294
"26",3.82205725380719
"27",4.311574000268
"28",4.1267590870929
"29",3.76356130047786
"30",3.37721112487626
"31",2.80403379024943
"32",3.89293372695447
"33",4.268343547802
"34",4.18159191752618
"35",3.83760192094635
"36",3.32920566231432
"37",2.83310883093946
"38",3.9535250355077
"39",4.27113491716445
"40",4.15734976174774
"41",3.80665256144834
"42",3.36498614389994
"43",2.81911442873008
"44",3.91387168216369
"45",4.31117660223703
"46",4.15557153501488
"47",3.73291039986643
"48",3.41780587764383
"49",3.44281763964371
"50",4.01083936098088
"51",4.37536848261407
"52",3.98380811760209
"53",3.66052732546323
"54",2.8820782373741
"55",3.49386228512034
"56",4.01744663061304
"57",4.34156643700568
"58",4.06452985656208
"59",3.61291949653815
"60",2.86523587124857
"61",3.44344853443587
"62",4.06394625707086
"63",4.35630812481847
"64",3.98375034746591
"65",3.67231589149965
"66",2.84141373935117
"67",3.43538754672909
"68",4.06771451486192
"69",4.32056752819793
"70",4.04020422869239
"71",3.70750771314373
"72",2.83147697010399
