"","as.numeric.B_coefficient2."
"1",3.1119344071582
"2",4.08278970937096
"3",4.84808528394317
"4",4.7185186733553
"5",4.00867789844339
"6",3.54414110084424
"7",3.10979358164586
"8",4.08258965145569
"9",4.84851211298491
"10",4.70933035903212
"11",4.01568995756563
"12",3.54288099059497
"13",3.11426433968852
"14",4.06071421007578
"15",4.84763306317069
"16",4.71886967300006
"17",4.01131496026523
"18",3.54876194114727
"19",3.11112061030073
"20",4.0789396171321
"21",4.84195126967731
"22",4.70803804062912
"23",4.00620711339238
"24",3.54341444957374
"25",2.73685530973945
"26",4.09831836068146
"27",4.89152442981295
"28",4.82015258308394
"29",4.2485233957638
"30",3.63741778575093
"31",2.71770660510266
"32",4.08066618490975
"33",4.9068768993237
"34",4.81590838912063
"35",4.28105348986401
"36",3.64682205709618
"37",2.71883423167586
"38",4.090127701787
"39",4.92100579955581
"40",4.81109232888431
"41",4.26461722680605
"42",3.64972812525781
"43",2.72387008285817
"44",4.07877320901464
"45",4.89751128123067
"46",4.82015598653184
"47",4.26389558892067
"48",3.64925689306673
"49",3.4548880112479
"50",4.28832544379399
"51",4.92123613718797
"52",4.74290084096398
"53",4.02291614664863
"54",3.18462849785134
"55",3.44822257158344
"56",4.29544101465588
"57",4.90938654714307
"58",4.71823207100455
"59",4.04713869383261
"60",3.1711066839847
"61",3.44175270554999
"62",4.31201527577447
"63",4.90340525617336
"64",4.75057339113368
"65",4.02648438049435
"66",3.17621145233073
"67",3.43554636817232
"68",4.31248679390655
"69",4.91848211219756
"70",4.7418254089639
"71",4.01957524163884
"72",3.18095192189423
