"","as.numeric.B_coefficient2."
"1",2.99303547698447
"2",3.34632463556196
"3",3.45409534724631
"4",3.23264505009882
"5",3.09375175349527
"6",3.25894776047933
"7",2.98634983648516
"8",3.37143130443364
"9",3.45546688741161
"10",3.24376222544201
"11",3.12252513192107
"12",3.26102199525261
"13",2.98974041956086
"14",3.37496583352666
"15",3.44091707958427
"16",3.25998555068999
"17",3.11562956821286
"18",3.25211780672034
"19",2.98571298251063
"20",3.35761709611307
"21",3.46557386624707
"22",3.24723255936735
"23",3.12457702098857
"24",3.24293488093163
"25",2.64761620748839
"26",3.34794925877411
"27",3.55569249895909
"28",3.39901672911596
"29",3.35292767680221
"30",3.34961482518899
"31",2.62494541055482
"32",3.32483212862595
"33",3.56997223014095
"34",3.39988791765248
"35",3.33952248476183
"36",3.34716755578814
"37",2.64622352611254
"38",3.3534424088994
"39",3.5591363056213
"40",3.39374123069774
"41",3.34167685336621
"42",3.34608642059658
"43",2.64051523975605
"44",3.32659846631952
"45",3.56891297855325
"46",3.40255356162024
"47",3.33762072755396
"48",3.34870095153767
"49",3.30606161730582
"50",3.57299618907645
"51",3.5579745856449
"52",3.30926694078964
"53",3.10398090387953
"54",2.90979520913223
"55",3.30841000348015
"56",3.56274571871693
"57",3.57135390072505
"58",3.32872429196895
"59",3.08283228591519
"60",2.90816763116349
"61",3.31449454129712
"62",3.54954470158261
"63",3.58143953454337
"64",3.30753346310934
"65",3.11828091308113
"66",2.8983502661529
"67",3.31176424512698
"68",3.55140661483902
"69",3.58865585263106
"70",3.31084421766191
"71",3.09779750508282
"72",2.90345986379835
