"","as.numeric.B_coefficient2."
"1",3.12172598016138
"2",4.25061593326213
"3",5.0956724934548
"4",4.92134762257927
"5",4.14794163887328
"6",3.51900359667976
"7",3.1246531740893
"8",4.27597254373533
"9",5.05689695476184
"10",4.94609153708183
"11",4.13703430314315
"12",3.534885183528
"13",3.1270281306532
"14",4.25752617662762
"15",5.09492506497861
"16",4.91393027804614
"17",4.1557957065147
"18",3.4987022097471
"19",3.11448395237506
"20",4.27484324921908
"21",5.07354849192212
"22",4.93483293239779
"23",4.15179543617076
"24",3.51499473780431
"25",2.83159309503293
"26",4.27265413378574
"27",5.13581420070158
"28",4.98673270425946
"29",4.34748085961764
"30",3.60001822078027
"31",2.84154787272274
"32",4.26661485521413
"33",5.13928748533166
"34",4.99336851902078
"35",4.3343466925688
"36",3.59440628722622
"37",2.84284868236884
"38",4.25862239619645
"39",5.12562756357702
"40",5.00379516439229
"41",4.33386166941223
"42",3.5988642283233
"43",2.8481754774335
"44",4.24994521435715
"45",5.14356115851036
"46",5.00372585596712
"47",4.33547379409057
"48",3.60264097468179
"49",3.39275906544802
"50",4.4216743286601
"51",5.14729719752749
"52",4.94348775061504
"53",4.1543418437278
"54",3.24433157430406
"55",3.39924991595018
"56",4.4231721242118
"57",5.14825840231427
"58",4.9212167998045
"59",4.16765402993466
"60",3.22342272268135
"61",3.38600069738858
"62",4.44252237790801
"63",5.13551563004311
"64",4.93263267078784
"65",4.15998810213244
"66",3.24543399951181
"67",3.40083438734284
"68",4.40274433392763
"69",5.16218239786105
"70",4.93001433394526
"71",4.17203540033002
"72",3.23655108140115
