"","as.numeric.B_coefficient2."
"1",2.65382824757476
"2",3.16906477496812
"3",3.46141531863427
"4",3.12061806119599
"5",2.79365096330538
"6",2.79586410710427
"7",2.65848737482872
"8",3.16185248910022
"9",3.43906017886094
"10",3.12640579540437
"11",2.77378145587588
"12",2.81545942854537
"13",2.65682959792776
"14",3.15675395606466
"15",3.46455949037508
"16",3.11620759694021
"17",2.78873841144828
"18",2.78674236782402
"19",2.66924516879738
"20",3.15489401716669
"21",3.45087409338986
"22",3.14552464585663
"23",2.76088994088243
"24",2.79939134377156
"25",2.28489132468148
"26",3.15021346961103
"27",3.55165066223285
"28",3.31502705402978
"29",3.03552303886274
"30",2.87558465110803
"31",2.28260353327718
"32",3.14009300338589
"33",3.55330259025059
"34",3.30592985886406
"35",3.05623770336799
"36",2.88174965729961
"37",2.27401285712433
"38",3.1598354182503
"39",3.56308681011305
"40",3.31046299803698
"41",3.03859780013115
"42",2.89493844635619
"43",2.28679344279277
"44",3.16197778867841
"45",3.56415708267277
"46",3.31589124813169
"47",3.03572817519643
"48",2.88913437097307
"49",2.964714151883
"50",3.38395292343737
"51",3.58771487332532
"52",3.20013521481563
"53",2.77363361313361
"54",2.41111052492656
"55",2.95688419874417
"56",3.38952654114427
"57",3.58820739911088
"58",3.20354531453657
"59",2.77938048919848
"60",2.43884138317997
"61",2.96830004341645
"62",3.37182678651676
"63",3.5944581400375
"64",3.19290608838603
"65",2.79194065981971
"66",2.39680842964344
"67",2.95886065523479
"68",3.38633986177316
"69",3.58838058500707
"70",3.19885661441279
"71",2.75045761510481
"72",2.40184873453047
