"","as.numeric.B_coefficient2."
"1",3.28065464035226
"2",4.3727708225323
"3",5.22157659549775
"4",5.1042789757747
"5",4.39137532377162
"6",3.79060043212068
"7",3.29221518326572
"8",4.3643654336778
"9",5.20396107496528
"10",5.11550908738343
"11",4.4099495871449
"12",3.79972263020745
"13",3.30346417353977
"14",4.34882300463839
"15",5.22294290600039
"16",5.09958510189699
"17",4.39845828695875
"18",3.79180355681063
"19",3.30324293599232
"20",4.36652479881093
"21",5.21354812247048
"22",5.10715762783566
"23",4.40829488471153
"24",3.77619675858231
"25",3.01810882687975
"26",4.37147691941915
"27",5.25788222116462
"28",5.18438242414195
"29",4.55967383338624
"30",3.89587438563753
"31",3.00413518507814
"32",4.3728313937463
"33",5.2627911000623
"34",5.1688880871857
"35",4.58190640893656
"36",3.86922008337743
"37",3.00598193537323
"38",4.38309229025189
"39",5.25081525092212
"40",5.17991727466605
"41",4.58998548631006
"42",3.87416184980633
"43",3.01926637409933
"44",4.35637916562589
"45",5.24868550348945
"46",5.19363042426499
"47",4.57709599353545
"48",3.87643480723765
"49",3.58197574763553
"50",4.52347983089862
"51",5.27321292419208
"52",5.11703696028807
"53",4.40706690851325
"54",3.5410812005071
"55",3.57499787783458
"56",4.52843872753165
"57",5.27033795169437
"58",5.10231507882229
"59",4.42002668127464
"60",3.52220967595859
"61",3.57443015373648
"62",4.5352552722744
"63",5.26557423705788
"64",5.1193590717963
"65",4.40908723943614
"66",3.51399799584329
"67",3.57163611959086
"68",4.52574567906963
"69",5.27646825597333
"70",5.10948239301236
"71",4.41041203823855
"72",3.52837080665869
