"","as.numeric.B_coefficient2."
"1",2.96757522815905
"2",3.31576721182916
"3",3.37821684263821
"4",3.14847755842193
"5",3.01215125464202
"6",3.11280084087491
"7",2.96010787536776
"8",3.32370260373124
"9",3.39693539966394
"10",3.12279043347527
"11",3.01959664344321
"12",3.10740534143977
"13",2.96260787356732
"14",3.31569052371948
"15",3.37893039800577
"16",3.14752059061764
"17",3.02045994679385
"18",3.11205498723645
"19",2.95618104509687
"20",3.30739314708676
"21",3.39282698318073
"22",3.13586843756293
"23",3.02364937446614
"24",3.12308668104176
"25",2.62568459217668
"26",3.29931389618061
"27",3.50453574505766
"28",3.28490674618088
"29",3.24207619493881
"30",3.20902841962465
"31",2.64906298426202
"32",3.32563648707823
"33",3.48526822534571
"34",3.30512844339569
"35",3.23915208803854
"36",3.20771420730629
"37",2.62308342725637
"38",3.28792441966906
"39",3.49174195984826
"40",3.30199810055928
"41",3.23396003737782
"42",3.20396306548514
"43",2.631826901463
"44",3.29534508628895
"45",3.4875434330344
"46",3.304040880342
"47",3.24176931672795
"48",3.20874848393528
"49",3.27250368992468
"50",3.50187194737344
"51",3.50181346405172
"52",3.21233714786329
"53",2.98886813097997
"54",2.77436056402165
"55",3.26953602608306
"56",3.51151195344134
"57",3.5081047419416
"58",3.21662788115139
"59",2.99807526711825
"60",2.77463891695759
"61",3.26309494995945
"62",3.48454861778467
"63",3.51945146970818
"64",3.19939869400553
"65",3.01045166208749
"66",2.76092911864381
"67",3.267317602339
"68",3.50410487064703
"69",3.51068610506234
"70",3.20570503160553
"71",3.01265202942177
"72",2.77231626459116
