"","as.numeric.B_coefficient2."
"1",3.25995067156647
"2",4.44598674489688
"3",5.33660906770822
"4",5.16367036737155
"5",4.325712537396
"6",3.68794396102718
"7",3.25229313680802
"8",4.44891814112008
"9",5.34246631399383
"10",5.16115919330591
"11",4.33327685744172
"12",3.68137986857237
"13",3.25233220449835
"14",4.43974699641661
"15",5.33701844629844
"16",5.16026836926934
"17",4.32191914718009
"18",3.68512045818317
"19",3.24903698953163
"20",4.43460161177095
"21",5.35483479939237
"22",5.16296475961254
"23",4.31764681735134
"24",3.69533061507227
"25",2.94008300216794
"26",4.45450339198307
"27",5.3906014220983
"28",5.23020469533633
"29",4.54779807938693
"30",3.76236321042662
"31",2.92672131015581
"32",4.45315457631253
"33",5.39937182820527
"34",5.23529804187583
"35",4.54154986697918
"36",3.77617745496018
"37",2.93519970413193
"38",4.46381427003348
"39",5.38095419827741
"40",5.25545338899827
"41",4.52413120895309
"42",3.78877555785484
"43",2.94889917954024
"44",4.45460902007797
"45",5.39160002440697
"46",5.24502702971085
"47",4.53119685065396
"48",3.76535017118619
"49",3.54118323017379
"50",4.62010527553751
"51",5.41771523816282
"52",5.17111297311937
"53",4.33066804505192
"54",3.38576678224917
"55",3.5409409871153
"56",4.63682450723658
"57",5.39213100153631
"58",5.17370425323058
"59",4.33924792124777
"60",3.37888487439143
"61",3.54899713253578
"62",4.63761468018697
"63",5.38914074274751
"64",5.20368777945546
"65",4.32131536237602
"66",3.38832987155478
"67",3.54822980279368
"68",4.60582887416079
"69",5.39950887366716
"70",5.18044238238164
"71",4.34181009149278
"72",3.38773834249133
