"","as.numeric.B_coefficient2."
"1",3.00792522657114
"2",4.04629580106718
"3",4.89983297407627
"4",4.80594706035041
"5",4.0004187797698
"6",3.39430896455352
"7",3.00951244986544
"8",4.06863037791004
"9",4.90764221559305
"10",4.81648253654834
"11",4.0078057890686
"12",3.40233271449777
"13",3.01461345851924
"14",4.05215137952663
"15",4.89605896606415
"16",4.82308107938414
"17",3.99929202978439
"18",3.40344601525978
"19",3.00917659758515
"20",4.0474024106668
"21",4.89438345356195
"22",4.82689921523071
"23",3.99724227795114
"24",3.40390812759877
"25",2.68892503042549
"26",4.04499413491059
"27",4.97122835330138
"28",4.90443236870251
"29",4.2219705061711
"30",3.49401391446309
"31",2.69431668739403
"32",4.07163460112704
"33",4.96041220362865
"34",4.89738173091431
"35",4.23641379355352
"36",3.48093062544584
"37",2.67816537993645
"38",4.04950239776875
"39",4.95880028755308
"40",4.90728712465503
"41",4.22531858498146
"42",3.49930125567609
"43",2.70692314837798
"44",4.04640429411032
"45",4.97325587353092
"46",4.9004554394931
"47",4.21794893061834
"48",3.49168567272023
"49",3.30538920739866
"50",4.24531960965067
"51",4.95864561549644
"52",4.84139701829533
"53",4.02219295223677
"54",3.08877208593285
"55",3.30946033686257
"56",4.24450848906559
"57",4.97425749672673
"58",4.85060070282089
"59",4.00842186650882
"60",3.08609996585152
"61",3.30796739437429
"62",4.25339482607359
"63",4.96315242750934
"64",4.83160463963994
"65",4.02293774676316
"66",3.09341435336163
"67",3.29420888047281
"68",4.25785936473417
"69",4.97076003439575
"70",4.85981323349908
"71",4.01119305035023
"72",3.07935130369622
