"","as.numeric.B_coefficient2."
"1",3.28811950602953
"2",4.43125244481877
"3",5.25431723314222
"4",5.20190183593533
"5",4.45694849173079
"6",3.80525626054232
"7",3.29115136021803
"8",4.42021628137
"9",5.25751126469155
"10",5.21020626089456
"11",4.44287066346927
"12",3.80766784874448
"13",3.28122660065778
"14",4.44110321683953
"15",5.2509276326777
"16",5.19867133941251
"17",4.44869800212776
"18",3.81209889318191
"19",3.28866215820614
"20",4.40527198338722
"21",5.25404189790301
"22",5.20920462141587
"23",4.43307320238032
"24",3.80867659611387
"25",2.9465558711275
"26",4.44354858902977
"27",5.31269979724137
"28",5.29437050543392
"29",4.65742907644267
"30",3.908933925384
"31",2.96099546493745
"32",4.41387053449061
"33",5.32636348106268
"34",5.27410303855362
"35",4.68539860784692
"36",3.90773234265335
"37",2.95979251075197
"38",4.42562967184032
"39",5.30347868771992
"40",5.27919415238038
"41",4.67467840851752
"42",3.92017585243299
"43",2.95277514033196
"44",4.4249356815091
"45",5.30589053762685
"46",5.30902629312691
"47",4.6445670468167
"48",3.91172613541881
"49",3.60879262320213
"50",4.60599867874996
"51",5.32660796210969
"52",5.21568668444037
"53",4.46239178832671
"54",3.48890991634125
"55",3.60997912487592
"56",4.59832348990555
"57",5.33286059783378
"58",5.20974136543736
"59",4.47496279676811
"60",3.49400740088513
"61",3.60719278132225
"62",4.60586890936252
"63",5.32715715865936
"64",5.21999754270607
"65",4.46675548906833
"66",3.47942554655343
"67",3.61235817240229
"68",4.60484460139599
"69",5.32832427620311
"70",5.20235175589222
"71",4.47993114402139
"72",3.47686409627286
