id,read.number,Numeric.Animal.ID,Capture.Week,Capture.Number,age.month.corrected,age.years,Sex,Average.BCS,Season,percent.cells.infected,Tvelifera.sc,TveliferaB,TveliferaUD,Tmutans1,Tmutans2,Tmutans3,TmutansMSD,Tmutans.sc,TmutansUD,TspBg,TspBf,Tparva
42c4,52152,42,8/13/14,4,23,1.95,F,2.75,dry,0.119752453,0.1975,0.1671456,0,0.187279,0.0311781,0.1934921,0,0,0,0.1487,0,0.0747047
42c5,56089,42,10/14/14,5,25,2.13,F,1.5,dry,0.121002317,0.130863,0.100091,0,0.189592,0.0632388,0.2210238,0,0,0,0.227834,0,0.0673572
42c6,50304,42,12/6/15,6,27,2.27,F,1.75,wet,0.098402868,0.0819816,0.085858,0,0.24348,0.064806,0.3370307,0,0,0,0.126849,0,0.0599952
42c7,66367,42,2/23/15,7,30,2.49,F,3.5,wet,0.366505282,0.223138,0.145268,0,0.207573,0.0911598,0.0417678,0.0294574,0,0.0120843,0.235509,0,0.0140431
42c8,42718,42,6/2/14,8,33,2.756164384,F,3.25,dry,0.042918455,0.170209,0.1400113,0,0.208554,0.0961421,0.2602646,0,0,0,0.0849291,0,0.0398895
42c9,49439,42,8/4/15,9,35,2.928767123,F,2.5,dry,0.126140777,0.22729,0.1697847,0,0.1943,0.0594874,0.2089039,0,0,0,0.119157,0,0.0210765
42c10,42978,42,10/5/15,10,37,3.101369863,F,3.5,dry,0.014404762,0.206408,0.124366,0,0.183699,0.0512588,0.1862348,0,0,0,0.201498,0,0.0465354
42c11,42414,42,12/1/15,11,39,3.254794521,F,3.25,wet,0.019157609,0.125053,0.1206677,0,0.264417,0.0710379,0.2632853,0,0,0,0.105767,0,0.0497713
43c1,84928,43,2/25/14,1,36,3,F,3.5,wet,0.107636986,0.0960225,0.1019805,0,0.313065,0.2036074,0.2077525,0,0.0253509,0,0.0522207,0,0
43c3,93080,43,6/6/14,3,39,3.33,F,2.5,dry,0.05244213,0.119983,0.0972927,0,0.317071,0.115599,0.1879136,0.012731,0.0272346,0,0.1221747,0,0
43c4,102033,43,8/13/14,4,41,3.45,F,3,dry,0.045805812,0.085541,0.0353219,0,0.187459,0.0933816,0.218802,0,0,0,0.3048228,0,0.0746719
43c5,74195,43,10/14/14,5,43,3.62,F,1.5,dry,0.060695073,0.142341,0.1303056,0,0.213694,0.080558,0.2602869,0.0166453,0.0295707,0,0.1265984,0,0
43c6,61911,43,12/6/15,6,45,3.76,F,1.5,wet,0.056391643,0.10696,0.0524947,0,0.301691,0.0942805,0.2453849,0,0.0144078,0,0.1847817,0,0
43c7,59667,43,2/23/15,7,48,3.99,F,3.25,wet,0.159547739,0.191815,0.1532505,0,0.239194,0.1453737,0.1820101,0,0,0,0.088357,0,0
43c8,78529,43,6/2/14,8,51,4.254794521,F,3.5,dry,0.024639076,0.103758,0.0759592,0,0.304957,0.1514852,0.2128131,0,0.0131671,0,0.1378596,0,0
43c9,55765,43,8/4/15,9,53,4.42739726,F,3.5,dry,0.075708912,0.15221,0.1726712,0,0.274222,0.0971039,0.2150815,0,0,0,0.0887116,0,0
43c10,62392,43,10/5/15,10,55,4.6,F,2.375,dry,0.014276049,0.198519,0.1732917,0,0.216759,0.102177,0.2289074,0,0.0160437,0,0.0643031,0,0
43c11,124827,43,12/1/15,11,57,4.753424658,F,3.75,wet,0.009807312,0.103175,0.0886988,0,0.228861,0.114438,0.292661,0,0,0,0.1574337,0,0.0147324
44c1,144791,44,2/25/14,1,48,4,M,3.25,wet,0.056601563,0.127135,0.1107044,0,0.15023,0.0410316,0.1384616,0,0.0230885,0,0.35429,0,0.0550587
44c3,73393,44,6/6/14,3,51,4.33,M,3.5,dry,0.053163965,0.0556048,0.1063998,0,0.233578,0.0939463,0.2318342,0,0,0,0.219217,0,0.0594198
44c4,74224,44,8/13/14,4,53,4.45,M,2.75,dry,0.074770905,0.112268,0.0790176,0,0.234021,0.0846357,0.1466641,0,0,0.0125162,0.290257,0,0.0406203
44c5,55555,44,10/14/14,5,55,4.62,M,2,dry,0.125322878,0.0800648,0.0638466,0,0.212222,0.0793088,0.2825306,0,0,0,0.228368,0,0.0536585
44c6,63941,44,12/6/15,6,57,4.76,M,2.75,wet,0.079658019,0.0917877,0.0796515,0,0.184514,0.047841,0.1634945,0,0,0,0.369559,0,0.063152
44c7,68874,44,2/23/15,7,60,4.99,M,3.75,wet,0.29112363,0.114659,0.117766,0,0.203299,0.0475506,0.1716468,0,0,0,0.265586,0,0.079493
56c1,351787,56,2/25/14,1,12,1,F,2.75,wet,0.071866711,0.194035,0.0776407,0,0.132489,0.0421619,0.1378305,0,0.0972549,0,0.172647,0,0.145941
56c3,62925,56,6/6/14,3,15,1.33,F,3.75,dry,0.083161673,0.0598967,0.0919031,0,0.278776,0.076472,0.2286214,0,0,0,0.264331,0,0
56c4,43481,56,8/13/14,4,17,1.45,F,3,dry,0.104615385,0.113521,0.1069662,0,0.212783,0.0517697,0.2059521,0,0.0182608,0,0.290748,0,0
